Name,Slug,Hole Image,Description,Par,Handicap,Yards - Red Tees,Yards - White Tees
1,no-1,https://cdn.prod.website-files.com/69f939921ce77ee46888b6b1/69f939a11ce77ee46888b799_placeholder-image.svg,Description of hole goes here,4,X,290,320
2,no-2,https://cdn.prod.website-files.com/69f939921ce77ee46888b6b1/69f939a11ce77ee46888b799_placeholder-image.svg,Description of hole goes here,3,X,130,135
3,no-3,https://cdn.prod.website-files.com/69f939921ce77ee46888b6b1/69f939a11ce77ee46888b799_placeholder-image.svg,Description of hole goes here,5,X,390,415
4,no-4,https://cdn.prod.website-files.com/69f939921ce77ee46888b6b1/69f939a11ce77ee46888b799_placeholder-image.svg,Description of hole goes here,4,X,230,260
5,no-5,https://cdn.prod.website-files.com/69f939921ce77ee46888b6b1/69f939a11ce77ee46888b799_placeholder-image.svg,Description of hole goes here,4,X,280,320
6,no-6,https://cdn.prod.website-files.com/69f939921ce77ee46888b6b1/69f939a11ce77ee46888b799_placeholder-image.svg,Description of hole goes here,3,X,192,210
7,no-7,https://cdn.prod.website-files.com/69f939921ce77ee46888b6b1/69f939a11ce77ee46888b799_placeholder-image.svg,Description of hole goes here,4,X,290,330
8,no-8,https://cdn.prod.website-files.com/69f939921ce77ee46888b6b1/69f939a11ce77ee46888b799_placeholder-image.svg,Description of hole goes here,4,X,300,340
9,no-9,https://cdn.prod.website-files.com/69f939921ce77ee46888b6b1/69f939a11ce77ee46888b799_placeholder-image.svg,Description of hole goes here,5,X,390,425
